"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Adrianite","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_","Ca Al Mg Si O Cl","IMA2014-028","","6322","Mexico (meteorite)","2014","Approved"," "," ","Ma C, Krot A N (2018) Adrianite, Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_, a new Cl-rich silicate mineral from the Allende meteorite: An alteration phase in a Ca-Al-rich inclusion. American Mineralogist 103, 1329–1334

","cubic","4567.61","Ca Al Mg Si O Cl","Adt"
"Aenigmatite","Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]","Na Fe Ti O Si","","R061088 R061089","791","Denmark (Greenland)","1865","Approved","Sapphirine","aenigmatite","Breithaupt A (1865) Mineralogische studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398","triclinic","4567.61","Na Fe^2+ Ti^4+ O Si","Aen"
"Ahrensite","SiFe^2+^_2_O_4_","SiFe_2_O_4_","Si Fe O","IMA2013-028","","6189","Morocco (meteorite)","2013","Approved","Spinel"," ","Ma C, Tschauner O, Beckett J R, Liu Y, Rossman G R, Sinogeikin S V, Smith J S, Taylor L A (2016) Ahrensite, γ-Fe_2_SiO_4_, a new shock-metamorphic mineral from the Tissint meteorite: Implications for the Tissint shock event on Mars. Geochimica et Cosmochimica Acta 184, 240-256

","cubic","","Si Fe^2+ O","Ahr"
"Åkermanite","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_","Ca Mg Si O","","R061085 R061100","814","Sweden","1884","Grandfathered|Approved","Melilite","melilite","Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402","tetragonal","4330","Ca Mg Si O","Åk"
"Akimotoite","MgSiO_3_","MgSiO_3_","Mg Si O","IMA1997-044","","816","Australia (meteorite)","1997","Approved","Corundum"," ","Tomioka N, Fujino K (1999) Akimotoite, (Mg,Fe)SiO<sub>3</sub>, a new silicate mineral of the ilmenite group in the Tenham chondrite, American Mineralogist 84, 267-271","hexagonal","","Mg Si O","Aki"
"Alabandite","Mn^2+^S^2-^","MnS","Mn S","","R070174","820","Romania / Turkey","1822","Grandfathered|Approved","Rocksalt","galena","Called alabandina sulfurea by Don Andres Manuel del Rio as reported in:
Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272

Renamed alabandine:
Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400","cubic","4620","Mn^2+ S^2-","Abd"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
"Allabogdanite","(Fe,Ni)_2_P","(Fe,Ni)_2_P","Fe Ni P","IMA2000-038","R070012","830","Russia (meteorite)","2000","Approved","Barringerite"," ","Britvin S N, Rudashevsky N S, Krivovichev S V, Burns P C, Polekhovsky Y S (2002) Allabogdanite, (Fe,Ni)<sub>2</sub>P, a new mineral from the Onello meteorite: The occurrence and crystal structure, American Mineralogist 87, 1245-1249","orthorhombic","","Fe Ni P","Abg"
"Altaite","Pb^2+^Te^2-^","PbTe","Pb Te","","R060939","843","Kazakhstan","1845","Grandfathered|Approved","Rocksalt","galena","Haidinger W (1845) Zweite Klasse: Geogenide. XII. Ordung. Metalle. II. Tellur. Altait, in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 556-559","cubic","4000","Pb^2+ Te^2-","Alt"
"Amakinite","Fe^2+^(OH)_2_","Fe(OH)_2_","Fe O H","","","863","Russia","1962","Approved","Brucite","brucite","Kozlov I T, Lershov P P (1962) Amakinite, a new mineral of the brucite-pyrochroite group, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 91(1), 72-77","hexagonal","352","Fe^2+ O H","Amk"
"Andradite","Ca_3_Fe^3+^_2_(SiO_4_)_3_","Ca_3_Fe^3+^_2_(SiO_4_)_3_","Ca Fe Si O","","R040001 R050256 R050311 R050377 R060358 R060350 R060326 R060423 R060449 R070722 R100049 R100138 R120004","885","Norway","1868","Grandfathered|Approved","Garnet","garnet","Dana J D, Brush G J (1868) E. Lime-Irongarnet; Andradite, in A System of Mineralogy, Fifth Edition, John Wiley and Sons (New York) 268-270","cubic|triclinic","4568.5","Ca Fe^3+ Si O","Adr"
"Andreyivanovite","FeCrP","FeCrP","Fe Cr P","IMA2006-003","","5517","Yemen (meteorite)","2006","Approved","Barringerite"," ","Zolensky M, Gounelle M, Mikouchi T, Ohsumi K, Le L, Hagiya K, Tachikawa O (2008) Andreyivanovite: A second new phosphide from the Kaidun meteorite, American Mineralogist 93, 1295-1299","orthorhombic","","Fe Cr P","Aiv"
"Anduoite","RuAs_2_","RuAs_2_","Ru As","","","888","China","1979","Approved"," ","Marcasite-Löllingite-Löllingite subgroup","Chromium Group and Electron Probe Group, Institute of Utilization, Chinese Academy of Geological Science; Platinum Group and Electron Probe Group, Institute of Geology and Mineral Resources, Chinese Academy of Geological Science; X-ray Laboratory, Wuhan Geologic College; and X-ray Laboratory, Institute of Geology, Academia Sinica (1979) Anduoite, a new ruthenium arsenide, Kexue Tongbao 15, 704-708","orthorhombic","2500","Ru As","Adu"
"Anhydrite","CaS^6+^O_4_","Ca(SO_4_)","Ca S O","","R040012 R040061 R061102","892","Austria","1794","Grandfathered|Approved","Not in a structural group"," ","Ludwig C F (1804) A. G. Werners Mineral - System, Erste Klasse Erdige Fossilien, VI. Kalk - Geschlecht, in Handbuch der Mineralogie nach A. G. Werner Volume 2, Siegfried Lebrecht Crusius (Leipzig) 209-212","orthorhombic","2816","Ca S^6+ O","Anh"
"Anorthite","CaAl_2_Si_2_O_8_","Ca(Al_2_Si_2_O_8_)","Ca Al Si O","","R040059 R050104 R060082 R060193 R060221 R060275 R070510 R070598 R100170 R130296 R190029","898","Italy","1823","Grandfathered|Approved","Feldspar","feldspar","Rose G (1823) Ueber den Feldspath, Albit, Labrador und Anorthit, Annalen der Physik und der Physikalischen Chemie 73, 173-208","triclinic|unknown","4700","Ca Al Si O","An"
"Anthophyllite","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_","Mg Si O H","","R070245","903","Norway","1801","Approved|Redefined","Amphibole","amphibole-group 1 Mg-Fe-Mn-Li","Schumacher C F (1801) Anthophyllit, in Versuch eines Verzeichnisses der in den Dänisch-Nordischen Staaten sich findenden einfachen Mineralien, Brummer (Kopenhagen) 96-96","orthorhombic","4000","Mg Si O H","Ath"
"Aragonite","CaCO_3_","Ca(CO_3_)","Ca C O","","R040078 R060195 R080142 R150021","916","Spain","1788","Grandfathered|Approved","Aragonite","aragonite","Mineral known earlier, but named arragonischer apatit by Werner:
Werner A G (1788) Geschichte, Karakteristik, und kurze chemische Untersuchung des Apatits. IV. Kurze Nachricht von den sogenannten arragonischen Apatiten, Bergmannisches Journal 1, 76-96

Renamed arragonite:
Hauy C (1791) Sur l'arragonite de Werner, Bulletin des Science, par la Société Philomathique 2, 67-68","orthorhombic","4700","Ca C O","Arg"
"Asimowite","Fe^2+^_2_SiO_4_","Fe_2_SiO_4_","Fe Si O","IMA2018-102","","6831","China (meteorite) / Chile (meteorite)","2018","Approved","Wadsleyite"," ","Bindi L, Brenker F E, Nestola F, Koch T E, Prior D J, Lilly K, Krot A N, Bizzarro M, Xie X (2019) Discovery of asimowite, the Fe-analog of wadsleyite, in shock-melted silicate droplets of the Suizhou L6 and the Quebrada Chimborazo 001 CB3.0 chondrites. American Mineralogist 104, 775-778","orthorhombic","","Fe^2+ Si O","Amw"
"Aspidolite","NaMg_3_(Si_3_Al)O_10_(OH)_2_","NaMg_3_(Si_3_Al)O_10_(OH)_2_","Na Mg Si Al O H","IMA2004-049","","974","Japan","1869","Approved|Redefined","Mica, Clay","mica-true micas","von Kobell F (1869) Ueber den Aspidolith, ein Glied aus der Biotit- und Phlogopit-Gruppe, Sitzungsberichte der Königlich Bayerischen Akademie der Wissenschaften zu München 1, 364-366

Mineral was only formally accepted as a species with this publication:
Banno Y, Miyawaki R, Kogure T, Matsubara S, Kamiya T, Yamada S (2005) Aspidolite, the Na analogue of phlogopite, from Kasuga-mura, Gifu Prefecture, central Japan, description and structural data, Mineralogical Magazine 69, 1047-1057","triclinic|monoclinic","427","Na Mg Si Al O H","Asp"
"Augite","(Ca,Mg,Fe^2+^,Fe^3+^)_2_(Si,Al)_2_O_6_","(Ca,Mg,Fe)_2_Si_2_O_6_","Ca Mg Fe Si O","","R061086 R061108 R070231 R110063 R190030","987","?","1685","Approved","Pyroxene","pyroxene","Pliny [translated by Hardouin, 1685] (77) Augites, in Caii Plinii secundi Naturalis historiae libri XXXVII interpretatione et notis illustravit Joannes Harduinus in usum Delphini, Franciscum Muguet (Paris) 406-406

The name was used to describe several different species until this paper:
Werner A G (1792) Geognostische Beobachtungen, auf einer Reife durch einen Theil des böhmischen Mittelgebirges, Bergmannisches Journal 1, 215-266","monoclinic","4700","Ca Mg Fe^2+ Fe^3+ Si Al O","Aug"
"Awaruite","Ni_3_Fe","Ni_3_Fe","Ni Fe","","R061020 R070671","997","New Zealand","1885","Grandfathered|Approved","Perovskite, Auricupride"," ","Skey W (1885) On a new mineral (awaruite) from Barn Bay, Transactions and Proceedings of the New Zealand Institute 18, 401-402","cubic","4620","Ni Fe","Awr"
"Baddeleyite","Zr^4+^O_2_","ZrO_2_","Zr O","","R060016 R060078 R100171","1003","Sri Lanka","1893","Grandfathered|Approved","Baddeleyite"," ","Fletcher L (1893) On baddeleyite (native zirconia), a new mineral, from Rakawana, Ceylon, Mineralogical Magazine 10, 148-160","monoclinic|orthorhombic","4567.61","Zr^4+ O","Bdy"
