"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Actinolite","Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","Ca Mg Fe Si O H","","R040063 R040064 R050025 R050336 R060045 R060041 R120010","784","Germany / Austria","1794","Approved|Redefined","Amphibole","amphibole-group 2 Ca","Originally named actynolite:
Kirwan R (1794) 16th species: actynolite, in Elements of Mineralogy, 2nd Edition, Volume 1, Elmsly (London) 167-170","monoclinic","4000","Ca Mg Fe^2+ Si O H","Act"
"Akaganeite","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","Fe Ni O H Cl","IMA1962-004","","811","Japan","1962","Approved|Renamed","Coronadite"," ","Mackay, A L (1962) ß-ferric oxyhydroxide-akaganéite, Mineralogical Magazine 33, 270-280

Chemical formula redefined:
Post J E, Heaney P J, von Dreele R B, Hanson J C (2003) Neutron and temperature-resolved synchrotron X-ray powder diffraction study of akaganéite, American Mineralogist 88, 782-788","monoclinic|tetragonal","2038","Fe^3+ Ni^2+ O H Cl","Akg"
"Alabandite","Mn^2+^S^2-^","MnS","Mn S","","R070174","820","Romania / Turkey","1822","Grandfathered|Approved","Rocksalt","galena","Called alabandina sulfurea by Don Andres Manuel del Rio as reported in:
Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272

Renamed alabandine:
Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400","cubic","4620","Mn^2+ S^2-","Abd"
"Alacránite","As_8_S_9_","As_8_S_9_","As S","IMA1985-033","R140323 R150030","821","Russia","1985","Approved|Renamed","Not in a structural group"," ","Popova V I, Popov V A, Clark A H, Polyakov V O, Borisovskii S E (1986) Alacránite, As<sub>8</sub>S<sub>9</sub> – a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 115(3), 360-368

Chemical formula changed:
Burns P C, Percival J B (2001) Alacranite, As<sub>4</sub>S<sub>4</sub>: a new occurrence, new formula, and determination of the crystal structure, The Canadian Mineralogist 39, 809-818

Chemical formula changed again:
Bonazzi P, Bindi L, Popova V, Pratesi G, Menchetti S (2003) Alacranite, As<sub>8</sub>S<sub>9</sub>: structural study of the holotype and re-assignment of the original chemical formula, American Mineralogist 88, 1796-1800","monoclinic","443","As S","Acr"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
"Aliettite","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca Mg Si Al O H","","","829","Italy","1968","Approved|Redefined","Corrensite, Clay","smectite","Veniale F, van der Marel H W (1969) Identification of some 1:1 regular interstratified trioctahedral clay minerals, Proceedings of the International Clay Conference, Tokyo 1, 233-244

Redefined:
Bailey S W (1981) A system of nomenclature for regular interstratifications, The Canadian Mineralogist 19, 651-655","","381.5","Ca Mg Si Al O H","Ali"
"Allophane","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al O Si H","","R070188 R120001","837","Germany","1816","Grandfathered|Approved","Allophane","kaolinite-serpentine-serpentine subgroup","Hausmann J F L, Stromeyer F (1816) Report at the Royal Academy of Sciences Göttingen meeting 13 July, 1816 on silberkupferglanz and allophan, Göttingische Gelehrte Anzeigen 2, 1249-1253","","4000","Al O Si H","Alp"
"Aluminoceladonite","KMgAlSi_4_O_10_(OH)_2_","K(Mg,Fe^2+^)Al(Si_4_O_10_)(OH)_2_","K Mg Fe Al Si O H","","","850","Austria / Poland","1883","Approved","Mica","mica-true micas","Originally named leucophyllite:
Starkl G (1883) Ueber neue Mineralvorkommnisse in Oesterreich, Jahrbuch der Kaiserlich-Königlichen Geologischen Reichsanstalt 33, 635-658

Renamed to avoid confusion with the name of a rock:
Rieder M, Cavazzini G, D’Yakonov Y S, Frank-Kamenetskii V A, Gottardt G, Guggenheim S, Koval P V, Muller G, Neiva A M R, Radoslovich E W, Robert J L, Sassi F P, Takeda H, Weiss Z, Wones D R (1998) Nomenclature of the micas, The Canadian Mineralogist 36, 905-912","monoclinic|hexagonal","1060","K Mg Al Si O H","Acel"
"Alum-(Na)","NaAl(S^6+^O_4_)_2_·12H_2_O","NaAl(SO_4_)_2_·12H_2_O","Na Al S O H","IMA2007 s.p","R110204","4130","?","1951","Approved|Renamed","Alum","alum","Pliny (77) Book XXXV, Chapter 52. Alumen, and the several varieties of it; thirty-eight remedies, in The Natural History of Pliny

Sodium species distinguished:
Palache C, Berman H, Frondel C (1951) 29.5.5.2 Soda alum [NaAl(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O], in The System of Mineralogy, Volume II, Seventh Edition, John Wiley and Sons, Inc (New York) 474-474

Name changed from soda alum:
Burke E A J (2008) Tidying up mineral names: an IMA-CNMNC scheme for suffixes, hyphens and diacritical marks, The Mineralogical Record 39, 131-135","cubic","35.7","Na Al S^6+ O H","Aum-Na"
"Ammonioalunite","N^3-^H_4_Al_3_(S^6+^O_4_)_2_(OH)_6_","(NH_4_)Al_3_(SO_4_)_2_(OH)_6_","N H Al S O","IMA1986-037","R060873","871","USA","1986","Approved","Alunite-Alunite","alunite-jarosite-alunite subgroup","Altaner S P, Fitzpatrick J J, Krohn M D, Bethke P M, Hayba D O, Goss J A, Brown Z A (1988) Ammonium in alunites, American Mineralogist 73, 145-152","hexagonal","298.9","N^3- H Al S^6+ O","Aalu"
"Ammonioleucite","(N^3-^H_4_)AlSi_2_O_6_","(NH_4_)(AlSi_2_O_6_)","N H Al Si O","IMA1984-015","R060104","874","Japan","1984","Approved","Analcime","zeolite","Hori H, Nagashima K, Yamada M, Miyawaki R, Marubashi T (1986) Ammonioleucite, a new mineral from Tatarazawa, Fujioka, Japan, American Mineralogist 71, 1022-1027","tetragonal","","N^3- H Al Si O","Alct"
"Analcime","NaAlSi_2_O_6_·H_2_O","Na(AlSi_2_O_6_)·H_2_O","Na Al Si O H","","R040128 R050094 R060023 R120095","876","Italy","1797","Approved","Analcime","zeolite","Haüy R J (1797) Analcime, Journal des Mines 5, 278-279","tetragonal|cubic, orthorhombic, monoclinic, hexagonal","2680","Na Al Si O H","Anl"
"Anatase","Ti^4+^O_2_","TiO_2_","Ti O","","R060277 R070582 R120013 R120064","879","France","1801","Approved","Not in a structural group"," ","Haüy R J (1801) Anatase, Traité de Minéralogie 3, 129-136","tetragonal","3074","Ti^4+ O","Ant"
"Anhydrite","CaS^6+^O_4_","Ca(SO_4_)","Ca S O","","R040012 R040061 R061102","892","Austria","1794","Grandfathered|Approved","Not in a structural group"," ","Ludwig C F (1804) A. G. Werners Mineral - System, Erste Klasse Erdige Fossilien, VI. Kalk - Geschlecht, in Handbuch der Mineralogie nach A. G. Werner Volume 2, Siegfried Lebrecht Crusius (Leipzig) 209-212","orthorhombic","2816","Ca S^6+ O","Anh"
