"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Abelsonite","Ni^2+^C_31_H_32_N_4_","NiC_31_H_32_N_4_","Ni C H N","IMA1975-013","R070007","777","USA","1975","Approved","Not in a structural group"," ","Milton C, Dwornik E J, Estep-Barnes P A, Finkelman R B, Pabst A, Palmer S (1978) Abelsonite, nickel porphyrin, a new mineral from the Green River Formation, Utah, American Mineralogist 63, 930-937","triclinic","56","Ni^2+ C H N","Abl"
"Acanthite","Ag^1+^_2_S^2-^","Ag_2_S","Ag S","","R070578 R080016","782","Czech Republic","1855","Grandfathered|Approved","Acanthite"," ","Kenngott A (1855) Ueber den akanthit, eine neue species in dem geschlechte der silber-glanze, Annalen der Physik und Chemie 95, 462-464","monoclinic","4000","Ag^1+ S^2-","Aca"
"Aegirine","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_","Na Fe Si O","","R040054 R050074 R061093 R070125 R070253 R120144 R120167","790","Norway","1835","Approved","Pyroxene","pyroxene","Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185","monoclinic","2613","Na Fe^3+ Si O","Aeg"
"Aegirine-augite","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","Ca Na Fe Mg Si O","","","4919","Russia","1892","Approved|Redefined","Pyroxene","pyroxene","Rosenbusch H (1892) Mineralien des monoklinen Krystallsystems. Gruppe der monoklinen Pyroxene, in Mikroskopische Physiographie der Petrographisch Wichtigen Mineralien, E.Schweizerbart'sche Verlagshandlung (E. Koch) (Stuttgart) 510-539

Redefined:
Morimoto N (1988) Nomenclature of pyroxenes, Mineralogical Magazine 52, 535-550","monoclinic","2680","Ca Na Fe^3+ Mg Fe^2+ Si O","Aeg-Aug"
"Afwillite","Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O","Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O","Ca Si O H","","R070296 R080022 R141097","797","South Africa","1925","Grandfathered|Approved","Spurrite-Afwillite"," ","Parry J, Wright F E (1925) Afwillite, a new hydrous calcium silicate, from Dutoitspan mine, Kimberley, South Africa, Mineralogical Magazine 20, 277-285","monoclinic|triclinic","2400","Ca Si O H","Afw"
"Akaganeite","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","Fe Ni O H Cl","IMA1962-004","","811","Japan","1962","Approved|Renamed","Coronadite"," ","Mackay, A L (1962) ß-ferric oxyhydroxide-akaganéite, Mineralogical Magazine 33, 270-280

Chemical formula redefined:
Post J E, Heaney P J, von Dreele R B, Hanson J C (2003) Neutron and temperature-resolved synchrotron X-ray powder diffraction study of akaganéite, American Mineralogist 88, 782-788","monoclinic|tetragonal","2038","Fe^3+ Ni^2+ O H Cl","Akg"
"Åkermanite","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_","Ca Mg Si O","","R061085 R061100","814","Sweden","1884","Grandfathered|Approved","Melilite","melilite","Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402","tetragonal","4330","Ca Mg Si O","Åk"
"Akopovaite","Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_","Al_4_Li_2_(OH)_12_(CO_3_)(H_2_O)_3_","Al Li O H C","IMA2018-095","","6825","Kyrgyzstan","2018","Approved","Hydrotalcite"," ","Karpenko V Y, Zhitova E S, Pautov L A, Agakhanov A A, Siidra O I, Krzhizhanovskaya M G, Rassulov V A, Bocharov V N (2020) Akopovaite, Li_2_Al_4_(OH)_12_(CO_3_)(H_2_O)_3_, a new Li member of the hydrotalcite supergroup from Turkestan Range, Kyrgyzstan. Mineralogical Magazine 84, 301-311","monoclinic","","Al Li O H C","Av"
"Alacránite","As_8_S_9_","As_8_S_9_","As S","IMA1985-033","R140323 R150030","821","Russia","1985","Approved|Renamed","Not in a structural group"," ","Popova V I, Popov V A, Clark A H, Polyakov V O, Borisovskii S E (1986) Alacránite, As<sub>8</sub>S<sub>9</sub> – a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 115(3), 360-368

Chemical formula changed:
Burns P C, Percival J B (2001) Alacranite, As<sub>4</sub>S<sub>4</sub>: a new occurrence, new formula, and determination of the crystal structure, The Canadian Mineralogist 39, 809-818

Chemical formula changed again:
Bonazzi P, Bindi L, Popova V, Pratesi G, Menchetti S (2003) Alacranite, As<sub>8</sub>S<sub>9</sub>: structural study of the holotype and re-assignment of the original chemical formula, American Mineralogist 88, 1796-1800","monoclinic","443","As S","Acr"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
