"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Abhurite","Sn^2+^_21_O_6_(OH)_14_Cl_16_","Sn^2+^_21_O_6_(OH)_14_Cl_16_","Sn O H Cl","IMA1983-061","R060227","780","Saudi Arabia","1983","Approved","Not in a structural group"," ","Matzko J J, Evans H T, Mrose M E, Aruscavage P (1985) Abhurite, a new tin hydroxychloride mineral, and a comparative study with a synthetic basic tin chloride, The Canadian Mineralogist 23, 233-240

Chemical formula revised from Sn<sub>3</sub>O(OH)<sub>2</sub>Cl<sub>2</sub>:
Edwards R, Gillard R D, Williams P A (1992) The stabilities of secondary tin minerals: abhurite and its relationships to Sn(II) and Sn(IV) oxides and oxyhydroxides, Mineralogical Magazine 56, 221-226","hexagonal","0","Sn^2+ O H Cl","Abh"
"Acetamide","CH_3_CONH_2_","CH_3_CONH_2_","C H O N","IMA1974-039","","783","Ukraine","1974","Approved","Not in a structural group"," ","Srebrodol’skii B I (1975) Acetamide CH<sub>3</sub>CONH<sub>2</sub> - a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 104(3), 326-328","hexagonal","0","C H O N","Ace"
"Adolfpateraite","K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)","K(UO_2_)(SO_4_)(OH)(H_2_O)","K U O S H","IMA2011-042","","5970","Czech Republic","2011","Approved","Not in a structural group"," ","Plášil J, Hloušek J, Veselovský F, Fejfarová K, Dušek M, Škoda R, Novák M, Čejka J, Sejkora J, Ondruš P (2012) Adolfpateraite, K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O), a new uranyl sulphate mineral from Jáchymov, Czech Republic, American Mineralogist 97, 447-454","monoclinic","0","K U^6+ O S^6+ H","Adp"
"Adranosite","(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_","(NH_4_)_4_NaAl_2_(SO_4_)_4_Cl(OH)_2_","N H Na Al S O Cl","IMA2008-057","","5717","Italy","2008","Approved","Adranosite"," ","Demartin F, Gramaccioli C M, Campostrini I (2010) Adranosite, (NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>, a new ammonium sulfate chloride from La Fossa Crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 48, 315-321","tetragonal","326","N^3- H Na Al S^6+ O Cl","Arn"
"Alacránite","As_8_S_9_","As_8_S_9_","As S","IMA1985-033","R140323 R150030","821","Russia","1985","Approved|Renamed","Not in a structural group"," ","Popova V I, Popov V A, Clark A H, Polyakov V O, Borisovskii S E (1986) Alacránite, As<sub>8</sub>S<sub>9</sub> – a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 115(3), 360-368

Chemical formula changed:
Burns P C, Percival J B (2001) Alacranite, As<sub>4</sub>S<sub>4</sub>: a new occurrence, new formula, and determination of the crystal structure, The Canadian Mineralogist 39, 809-818

Chemical formula changed again:
Bonazzi P, Bindi L, Popova V, Pratesi G, Menchetti S (2003) Alacranite, As<sub>8</sub>S<sub>9</sub>: structural study of the holotype and re-assignment of the original chemical formula, American Mineralogist 88, 1796-1800","monoclinic","443","As S","Acr"
"Albrechtschraufite","Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O","MgCa_4_F_2_[UO_2_(CO_3_)_3_]_2_·17-18H_2_O","Mg Ca F U O C H","IMA1983-078","","825","Czech Republic","1983","Approved","Not in a structural group"," ","Mereiter K (1984) The crystal structure of albrechtschraufite, MgCa<sub>4</sub>F<sub>2</sub>[(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>]<sub>2</sub>·17H<sub>2</sub>O, Acta Crystallographica A40, C247-C247 ","triclinic","0","Ca Mg U^6+ O C F H","Asf"
"Aldridgeite","(Cd^2+^,Ca)(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O","(Cd,Ca)(Cu,Zn)_4_(SO_4_)_2_(OH)_6_·3H_2_O","Cd Ca Cu Zn S O H","IMA2010-029","","5856","Australia","2010","Approved","Devilline"," ","Elliot P, Pring A (2015) Aldridgeite, a new mineral from the Block 14 open cut, Broken Hill, New South Wales. Australian Journal of Mineralogy 17, 67-71","monoclinic","1861","Cd^2+ Ca Cu^2+ Zn^2+ S^6+ O H","Adg"
"Alpersite","MgS^6+^O_4_·7H_2_O","Mg(SO_4_)·7H_2_O","Mg S O H","IMA2003-040","","5245","USA","2003","Approved","Melanterite","melanterite","Peterson R C, Hammarstrom J M, Seal R R (2006) Alpersite (Mg,Cu)SO<sub>4</sub>·7H<sub>2</sub>O, a new mineral of the melanterite group, and cuprian pentahydrite: Their occurrence within mine waste, American Mineralogist 91, 261-269

Chemical formula changed from (Mg,Cu)SO_4_·7H_2_O:
Miyawaki R, Hatert F, Pasero M, Mills S J (2019) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 50. New minerals and nomenclature modifications approved in 2019. Mineralogical Magazine 83, 615-620","monoclinic","2500","Mg S^6+ O H","Aps"
"Aluminite","Al_2_S^6+^O_4_(OH)_4_·7H_2_O","Al_2_(SO_4_)(OH)_4_·7H_2_O","Al S O H","","R060691","847","Germany","1805","Grandfathered|Approved","Aluminite"," ","Haberle C C (1805) IV. Flóz- Trapp- Gebirgsarten, in Beitráge zu einer allgemeinen Einleitung in das Studium der Mineralogie, Berlage des Landes - Industrie - Comptoirs (Weimar) 262, 335","monoclinic","3110","Al S^6+ O H","A"
"Aluminocopiapite","(Al,Mg)Fe^3+^_4_(S^6+^O_4_)_6_(OH,O)_2_·20H_2_O","(Al,Mg)Fe^3+^_4_(SO_4_)_6_(OH,O)_2_·20H_2_O","Al Mg Fe S O H","","","851","USA","1947","Grandfathered|Approved","Copiapite","copiapite","Berry L G (1947) Composition and optics of copiapite, University of Toronto Studies: VI. Geological Series 51, 21-34","triclinic","470","Al Mg Fe^3+ S^6+ O H","Acpi"
