"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Abellaite","NaPb^2+^_2_(CO_3_)_2_(OH)","NaPb_2_(CO_3_)_2_(OH)","Na Pb C O H","IMA2014-111","","6482","Spain","2014","Approved","Not in a structural group"," ","Ibáñez-Insa J, Elvira J J, Llovet X, Pérez-Cano J, Oriols N, Busquets-Masó M, Hernández S (2017) Abellaite, NaPb_2_(CO_3_)_2_(OH), a new supergene mineral from the Eureka mine, Lleida province, Catalonia, Spain. European Journal of Mineralogy 29, 915-922","hexagonal","370","Na Pb^2+ C O H","Abe"
"Abelsonite","Ni^2+^C_31_H_32_N_4_","NiC_31_H_32_N_4_","Ni C H N","IMA1975-013","R070007","777","USA","1975","Approved","Not in a structural group"," ","Milton C, Dwornik E J, Estep-Barnes P A, Finkelman R B, Pabst A, Palmer S (1978) Abelsonite, nickel porphyrin, a new mineral from the Green River Formation, Utah, American Mineralogist 63, 930-937","triclinic","56","Ni^2+ C H N","Abl"
"Abernathyite","K(U^6+^O_2_)As^5+^O_4_·3H_2_O","K(UO_2_)(AsO_4_)·3H_2_O","K U O As H","","","779","USA","1956","Grandfathered|Approved","Natroautunite","autunite","Thompson M E, Ingram B, Gross E B (1956) Abernathyite, a new uranium mineral of the metatorbernite group, American Mineralogist 41, 82-90

Chemical formula revised from K(UO<sub>2</sub>)AsO<sub>4</sub>·4H<sub>2</sub>O:
Ross M, Evans H T (1964) Studies of the torbernite minerals (I): The crystal structure of abernathyite and the structurally related compounds NH<sub>4</sub>(UO<sub>2</sub>AsO<sub>4</sub>)·3H<sub>2</sub>O and K(H<sub>3</sub>O)(UO<sub>2</sub>AsO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O, American Mineralogist 49, 1578-1602","tetragonal","358.9","K U^6+ O As^5+ H","Abn"
"Abhurite","Sn^2+^_21_O_6_(OH)_14_Cl_16_","Sn^2+^_21_O_6_(OH)_14_Cl_16_","Sn O H Cl","IMA1983-061","R060227","780","Saudi Arabia","1983","Approved","Not in a structural group"," ","Matzko J J, Evans H T, Mrose M E, Aruscavage P (1985) Abhurite, a new tin hydroxychloride mineral, and a comparative study with a synthetic basic tin chloride, The Canadian Mineralogist 23, 233-240

Chemical formula revised from Sn<sub>3</sub>O(OH)<sub>2</sub>Cl<sub>2</sub>:
Edwards R, Gillard R D, Williams P A (1992) The stabilities of secondary tin minerals: abhurite and its relationships to Sn(II) and Sn(IV) oxides and oxyhydroxides, Mineralogical Magazine 56, 221-226","hexagonal","0","Sn^2+ O H Cl","Abh"
"Achyrophanite","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_","(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(AsO_4_)_5_","K Na Fe Ti Al Mg O As","IMA2018-011","","6754","Russia","2018","Pending publication|Approved","Not in a structural group"," ","Pekov, I.V., Zubkova, N.V., Koshlyakova, N.N., Belakovskiy, D.I., Vigasina, M.F., Agakhanov, A.A., Britvin, S.N., Turchkova, A.G., Sidorov, E.G. and Pushcharovsky, D.Y. (2018) Achyrophanite, IMA2018-011. CNMNC Newsletter No 43, June 2018, page 783; Mineralogical Magazine, 82, 779–785","orthorhombic","3.6E-5","K Na Fe^3+ Ti Al Mg O As^5+","Aph"
"Acmonidesite","(N^3-^H_4_,K,Pb^2+^,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_","(NH_4_,K,Pb,Na)_9_Fe^2+^_4_(SO_4_)_5_Cl_8_","N H K Pb Na Fe S O Cl","IMA2013-068","","6229","Italy","2013","Approved","Not in a structural group"," ","Demartin F, Castellano C, Campostrini I (2019) Acmonidesite, a new ammonium sulfate chloride from La Fossa crater, Vulcano, Aeolian Islands, Italy. Mineralogical Magazine 83, 137-142","orthorhombic","","N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl","Acm"
"Adamite","Zn^2+^_2_As^5+^O_4_(OH)","Zn_2_(AsO_4_)(OH)","Zn As O H","","R040130 R050020 R060593","786","Chile","1866","Grandfathered|Approved","Andalusite","olivenite","Friedel C, Daubrée G A (1866) Sur l‘adamine, nouvelle espèce minérale, Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences 62, 692-695","orthorhombic","2700","Zn^2+ As^5+ O H","Ad"
"Adanite","Pb^2+^_2_(Te^4+^O_3_)(S^6+^O_4_)","Pb_2_(Te^4+^O_3_)(SO_4_)","Pb Te O S","IMA2019-088","R190033","6938","USA","2019","Approved"," "," ","Kampf A R, Housley R M, Rossman G R, Yang H, Downs R T (2020) Adanite, a new lead-tellurite-sulfate mineral from the North Star mine, Tintic, Utah, and Tombstone, Arizona, USA. The Canadian Mineralogist 58, 403-410","monoclinic","","Pb^2+ Te^4+ O S^6+","Adn"
"Adelite","CaMgAs^5+^O_4_(OH)","CaMg(AsO_4_)(OH)","Ca Mg As O H","","R060687","788","Sweden","1891","Grandfathered|Approved","Adelite","adelite-descloizite-adelite subgroup","Sjögren H (1891) Adelit, ett basiskt arseniat från Nordmarken och Långban, Geologiska Föreningens i Stockholm Förhandlingar 13, 781-789","orthorhombic","1890","Ca Mg As^5+ O H","Ade"
"Adolfpateraite","K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O)","K(UO_2_)(SO_4_)(OH)(H_2_O)","K U O S H","IMA2011-042","","5970","Czech Republic","2011","Approved","Not in a structural group"," ","Plášil J, Hloušek J, Veselovský F, Fejfarová K, Dušek M, Škoda R, Novák M, Čejka J, Sejkora J, Ondruš P (2012) Adolfpateraite, K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O), a new uranyl sulphate mineral from Jáchymov, Czech Republic, American Mineralogist 97, 447-454","monoclinic","0","K U^6+ O S^6+ H","Adp"
